"","title","author","journal","number","cites","year","cid","pubid"
"1","Plasma Lipidomic Profiles and Risk of Diabetes: Results from Two Prospective Cohorts of HIV-Infected and HIV-Uninfected Individuals","E Zhang, JC Chai, A Deik, S Hua, A Sharma, MF Schneider, D Gustafson, ...","","",0,2020,NA,"kVjdVfd2voEC"
"2","Metabolomic Profiling of Left Ventricular Diastolic Dysfunction in Women With or at Risk for HIV Infection: The Women's Interagency HIV Study","CA Bravo, S Hua, A Deik, J Lazar, DB Hanna, J Scott, JC Chai, ...","Journal of the American Heart Association","9 (4), e013522",0,2020,NA,"cK4Rrx0J3m0C"
"3","Serum Metabolomic Signatures of Multiple Healthful Dietary Patterns and Incident Cardiometabolic Diseases in US Hispanics/Latinos","G Chen, JC Chai, Z Shan, B Yu, Y Mossavar-Rahmani, D Sotres-Alvarez, ...","Circulation","141 (Suppl_1), A10-A10",0,2020,NA,"LdasjJ6CEcoC"
"4","Abstract P277: Lower Gut Microbial Diversity in Non-alcoholic Fatty Liver Disease: Results From the Hispanic Community Health Study/Study of Latinos (HCHS/SOL)","JS Williams-Nguyen, MH Kuniholm, Z Wang, JC Chai, JY Moon, T Wang, ...","Circulation","141 (Suppl_1), AP277-AP277",0,2020,NA,"7Hz3ACDFbsoC"
"5","Metabolomic Signatures of Sedentary Behavior and Cardiometabolic Traits in US Hispanics/Latinos: Hispanic Community Health Study/Study of Latinos (HCHS/SOL)","JC Chai, JY Moon, B Yu, G Chen, M Graff, ML DAVIGLUS, QM Chan, ...","Circulation","141 (Suppl_1), A29-A29",0,2020,NA,"MpfHP-DdYjUC"
"6","Abstract MP59: Serum Sphingolipids and Incident Diabetes in US Hispanics/Latinos: The Hispanic Community Health Study/Study of Latinos (HCHS/SOL)","JC Chai, G Chen, B Yu, M Grove, AM Fretts, ML DAVIGLUS, ...","Circulation","141 (Suppl_1), AMP59-AMP59",0,2020,NA,"PaBasH6fAo0C"
"7","154-OR: Metabolomic Profiling and Diabetes Risk in US Hispanics/Latinos: Hispanic Community Health Study/Study of Latinos","JC Chai, J Li, B Yu, C Isasi, T Khambaty, L Van Horn, DC Vidot, ...","Diabetes","68 (Supplement 1), 154-OR",0,2019,NA,"U4n9YNQMCAIC"
"8","Forkhead box O1 (FOXO1) controls the migratory response of Toll-like receptor (TLR3)-stimulated human mesenchymal stromal cells","SH Kim, A Das, HI Choi, KH Kim, JC Chai, MR Choi, B Binas, KS Park, ...","Journal of Biological Chemistry","294 (21), 8424-8437",2,2019,"8080658870441969351","zCSUwVk65WsC"
"9","Association of Lipidomic Profiles With Progression of Carotid Artery Atherosclerosis in HIV Infection","JC Chai, AA Deik, S Hua, T Wang, DB Hanna, X Xue, SA Haberlen, ...","JAMA cardiology","4 (12), 1239-1249",2,2019,"11552294137346894940","v1_lew4L6wgC"
"10","Association between regional body fat and cardiovascular disease risk among postmenopausal women with normal body mass index","GC Chen, R Arthur, NM Iyengar, V Kamensky, X Xue, ...","European heart journal","40 (34), 2849-2855",11,2019,"1739643506013864222","BzfGm06jWhQC"
"11","Gene expression signatures after ethanol exposure in differentiating embryoid bodies","C Mandal, SH Kim, JC Chai, YS Lee, KH Jung, YG Chai","Toxicology in Vitro","46, 66-76",0,2018,NA,"1lhNe0rCu4AC"
"12","Abstract MP66: Lipidomics Profiling and Progression of Carotid Artery Atherosclerosis in HIV-infected Individuals","JC Chai, S Hua, CB Clish, AA Deik, T Wang, DB Hanna, SA Haberlen, ...","Circulation","137 (suppl_1), AMP66-AMP66",0,2018,NA,"43bX7VzcjpAC"
"13","GSK-J4-Mediated Transcriptomic Alterations in Differentiating Embryoid Bodies","C Mandal, SH Kim, SC Kang, JC Chai, YS Lee, KH Jung, YG Chai","Molecules and cells","40 (10), 737",1,2017,"3499671831429248642","ubry08Y2EpUC"
"14","RNA sequencing reveals resistance of TLR4 ligand-activated microglial cells to inflammation mediated by the selective jumonji H3K27 demethylase inhibitor","A Das, S Arifuzzaman, T Yoon, SH Kim, JC Chai, YS Lee, KH Jung, ...","Scientific reports","7 (1), 1-19",18,2017,"3869258948032819765","ALROH1vI_8AC"
"15","Profiling ethanol-targeted transcription factors in human carcinoma cell-derived embryoid bodies","C Mandal, D Halder, JC Chai, YS Lee, KH Jung, YG Chai","Gene","576 (1), 119-125",5,2016,"17007099061767662985","Bg7qf7VwUHIC"
"16","TLR3-/4-priming differentially promotes Ca 2+ signaling and cytokine expression and Ca 2+-dependently augments cytokine release in hMSCs","KS Park, SH Kim, A Das, SN Yang, KH Jung, MK Kim, PO Berggren, ...","Scientific reports","6 (1), 1-14",5,2016,"7313363504652529618","nVrZBo8bIpAC"
"17","RNA Sequencing reveals the alteration of the expression of novel genes in ethanol-treated embryoid bodies","C Mandal, SH Kim, JC Chai, SM Oh, YS Lee, KH Jung, YG Chai","PloS one","11 (3), e0149976",6,2016,"5842301517793528223","gKiMpY-AVTkC"
"18","Transcriptome sequencing wide functional analysis of human mesenchymal stem cells in response to TLR4 ligand","SH Kim, A Das, JC Chai, B Binas, MR Choi, KS Park, YS Lee, KH Jung, ...","Scientific reports","6 (1), 1-15",13,2016,"13236890294540267389","F1b5ZUV5XREC"
"19","Transcriptome sequencing reveals that LPS-triggered transcriptional responses in established microglia BV2 cell lines are poorly representative of primary microglia","A Das, SH Kim, S Arifuzzaman, T Yoon, JC Chai, YS Lee, KS Park, ...","Journal of neuroinflammation","13 (1), 182",39,2016,"16723074664727565466","Ak0FvsSvgGUC"
"20","Transcriptomic profiling and H3K27me3 distribution reveal both demethylase-dependent and independent regulation of developmental gene transcription in cell differentiation","SC Kang, SK Kim, JC Chai, SH Kim, KJ Won, YS Lee, KH Jung, YG Chai","PLoS One","10 (8)",10,2015,"1570554964111582295","vDZJ-YLwNdEC"
"21","Transcriptomic study of mouse embryonic neural stem cell differentiation under ethanol treatment","C Mandal, JH Park, MR Choi, SH Kim, AC Badejo, JC Chai, YS Lee, ...","Molecular biology reports","42 (7), 1233-1239",10,2015,"6263264250439603756","artPoR2Yc-kC"
"22","PCDHB14- and GABRB1-like nervous system developmental genes are altered during early neuronal differentiation of NCCIT cells treated with ethanol","D Halder, C Mandal, BH Lee, JS Lee, MR Choi, JC Chai, YS Lee, ...","Human & experimental toxicology","34 (10), 1017-1027",10,2015,"13817085508815954358","lvd772isFD0C"
"23","Global transcriptome profiling of genes that are differentially regulated during differentiation of mouse embryonic neural stem cells into astrocytes","D Han, MR Choi, KH Jung, N Kim, S kye Kim, JC Chai, YS Lee, YG Chai","Journal of Molecular Neuroscience","55 (1), 109-125",11,2015,"12389553203736697935","W7OEmFMy1HYC"
"24","Dual transcriptome sequencing reveals resistance of TLR4 ligand-activated bone marrow-derived macrophages to inflammation mediated by the BET inhibitor JQ1","A Das, JC Chai, C Yang, YS Lee, ND Das, KH Jung, YG Chai","Scientific reports","5, 16932",18,2015,"9075941517548127069","5icHVeHT4IsC"
"25","Dual RNA sequencing reveals the expression of unique transcriptomic signatures in lipopolysaccharide-induced BV-2 microglial cells","A Das, JC Chai, SH Kim, KS Park, YS Lee, KH Jung, YG Chai","PloS one","10 (3)",21,2015,"8507088230093399268","tH6gc1N1XXoC"
"26","RNA sequencing reveals distinct mechanisms underlying BET inhibitor JQ1-mediated modulation of the LPS-induced activation of BV-2 microglial cells","KH Jung, A Das, JC Chai, SH Kim, N Morya, KS Park, YS Lee, YG Chai","Journal of neuroinflammation","12 (1), 36",27,2015,"1570316988767275303","BJbdYPG6LGMC"
"27","Transcriptome sequencing of microglial cells stimulated with TLR3 and TLR4 ligands","A Das, JC Chai, SH Kim, YS Lee, KS Park, KH Jung, YG Chai","BMC genomics","16 (1), 517",38,2015,"3823844299519741328","gVv57TyPmFsC"
"28","Energy metabolism in Mycobacterium gilvum PYR-GCK: Insights from transcript expression analyses following two states of induction","AC Badejo, WH Chung, NS Kim, JC Chai, YS Lee, KH Jung, HJ Kim, ...","PloS one","9 (6)",2,2014,"9580636264098670426","Y0pCki6q_DkC"
"29","Toxic pyrene metabolism in Mycobacterium gilvum PYR-GCK results in the expression of mammalian cell entry genes as revealed by transcriptomics study","AC Badejo, WH Chung, NS Kim, SK Kim, JC Chai, YS Lee, KH Jung, ...","J Microbiol Biotechnol","24, 1170-1177",2,2014,"5698695246788579118","Tyk-4Ss8FVUC"
"30","JMJD2A attenuation affects cell cycle and tumourigenic inflammatory gene regulation in lipopolysaccharide stimulated neuroectodermal stem cells","A Das, JC Chai, KH Jung, ND Das, SC Kang, YS Lee, H Seo, YG Chai","Experimental cell research","328 (2), 361-378",9,2014,"6044907209929522578","zYLM7Y9cAGgC"
"31","Chronic ethanol exposure increases goosecoid (GSC) expression in human embryonic carcinoma cell differentiation","D Halder, JH Park, MR Choi, JC Chai, YS Lee, C Mandal, KH Jung, ...","Journal of Applied Toxicology","34 (1), 66-75",14,2014,"12996640883852924854","d1gkVwhDpl0C"
"32","A Global Differential Transcriptomic Profiling of Mycobacterium gilvum PVR-GCK During Pyrene and Glucose Metabolism Using RNA-seq","AC Badejo, KH Jung, SK Kim, JC Chai, WH Chung, NS Kim, HJ Kim, ...","한국미생물학회 학술대회논문집","220-220",0,2013,NA,"otzGkya1bYkC"
"33","Genetic diversity of Korean Bacillus anthracis isolates from soil evaluated with a single nucleotide repeat analysis","SH Kim, KH Jung, SK Kim, SJ Kim, JC Kim, SY Cho, JC Chai, YS Lee, ...","Journal of veterinary science","14 (4), 457-465",1,2013,"3450286149972088550","UeHWp8X0CEIC"
"34","EPITRANS: a database that integrates epigenome and transcriptome data","SY Cho, JC Chai, SJ Park, H Seo, CB Sohn, YS Lee","Molecules and cells","36 (5), 472-475",2,2013,"9595013029266162428","2osOgNQ5qMEC"
"35","Identification of cancer-specific biomarkers by using microarray gene expression profiling","JC Chai, S Park, H Seo, SY Cho, YS Lee","BioChip Journal","7 (1), 57-62",13,2013,"3259705249208253413","qjMakFHDy7sC"
"36","Genetic populations of Bacillus anthracis isolates from Korea","KH Jung, SH Kim, SK Kim, SY Cho, JC Chai, YS Lee, JC Kim, SJ Kim, ...","Journal of veterinary science","13 (4), 385-393",12,2012,"10917628814652307836","u-x6o8ySG0sC"
"37","Comparative study between Next Generation Sequencing Technique and identification of microarray for Species Identification within blended food products","JY Park, SY Lee, CM An, JH Kang, JH Kim, JC Chai, JY Chen, JS Kang, ...","Biochip Journal","6 (4), 354-361",15,2012,"7932982563627388009","9yKSN-GCB0IC"
"38","Genome-scale DNA methylation pattern profiling of human bone marrow mesenchymal stem cells in long-term culture","MR Choi, YH In, J Park, T Park, KH Jung, JC Chai, MK Chung, YS Lee, ...","Experimental & molecular medicine","44 (8), 503-512",36,2012,"11762417908893030695","u5HHmVD_uO8C"
"39","Genetic Population of Bacillus anthracis Isolates from Korea Compare With Global Genetic Population","SH Kim, HB Oh, SJ Kim, JC Kim, KK Oh, JC Chai, SY Cho, YS Lee, ...","한국미생물학회 학술대회논문집","142-142",0,2011,NA,"CaZNVDsoPx4C"
"40","Knowledge based construction of functional modules for genetic network in Saccharomyces Cerevisiae","SY Cho, SH Park, JC Chai, YS Lee","BioChip Journal","5 (2), 145",0,2011,NA,"IjCSPb-OGe4C"
